ISIN,Industry,Ticker
INE466L01038,Financial Services,NSE:360ONE-EQ
INE470A01017,Diversified,NSE:3MINDIA-EQ
INE117A01022,Capital Goods,NSE:ABB-EQ
INE012A01025,Construction Materials,NSE:ACC-EQ
INE212H01026,Capital Goods,NSE:AIAENG-EQ
INE702C01027,Capital Goods,NSE:APLAPOLLO-EQ
INE949L01017,Financial Services,NSE:AUBANK-EQ
INE769A01020,Chemicals,NSE:AARTIIND-EQ
INE216P01012,Financial Services,NSE:AAVAS-EQ
INE358A01014,Healthcare,NSE:ABBOTINDIA-EQ
INE731H01025,Capital Goods,NSE:ACE-EQ
INE931S01010,Power,NSE:ADANIENSOL-EQ
INE423A01024,Metals & Mining,NSE:ADANIENT-EQ
INE364U01010,Power,NSE:ADANIGREEN-EQ
INE742F01042,Services,NSE:ADANIPORTS-EQ
INE814H01011,Power,NSE:ADANIPOWER-EQ
INE399L01023,Oil Gas & Consumable Fuels,NSE:ATGL-EQ
INE699H01024,Fast Moving Consumer Goods,NSE:AWL-EQ
INE674K01013,Financial Services,NSE:ABCAPITAL-EQ
INE647O01011,Consumer Services,NSE:ABFRL-EQ
INE208C01025,Oil Gas & Consumable Fuels,NSE:AEGISLOG-EQ
INE0BWX01014,Chemicals,NSE:AETHER-EQ
INE00WC01027,Information Technology,NSE:AFFLE-EQ
INE031B01049,Healthcare,NSE:AJANTPHARM-EQ
INE901L01018,Healthcare,NSE:APLLTD-EQ
INE540L01014,Healthcare,NSE:ALKEM-EQ
INE150B01039,Chemicals,NSE:ALKYLAMINE-EQ
INE418H01029,Services,NSE:ALLCARGO-EQ
INE270A01029,Textiles,NSE:ALOKINDS-EQ
INE885A01032,Automobile and Auto Components,NSE:ARE&M-EQ
INE371P01015,Consumer Durables,NSE:AMBER-EQ
INE079A01024,Construction Materials,NSE:AMBUJACEM-EQ
INE463V01026,Financial Services,NSE:ANANDRATHI-EQ
INE732I01013,Financial Services,NSE:ANGELONE-EQ
INE930P01018,Chemicals,NSE:ANURAS-EQ
INE372A01015,Capital Goods,NSE:APARINDS-EQ
INE437A01024,Healthcare,NSE:APOLLOHOSP-EQ
INE438A01022,Automobile and Auto Components,NSE:APOLLOTYRE-EQ
INE852O01025,Financial Services,NSE:APTUS-EQ
INE128X01021,Chemicals,NSE:ACI-EQ
INE439A01020,Automobile and Auto Components,NSE:ASAHIINDIA-EQ
INE208A01029,Capital Goods,NSE:ASHOKLEY-EQ
INE021A01026,Consumer Durables,NSE:ASIANPAINT-EQ
INE914M01019,Healthcare,NSE:ASTERDM-EQ
INE203A01020,Healthcare,NSE:ASTRAZEN-EQ
INE006I01046,Capital Goods,NSE:ASTRAL-EQ
INE100A01010,Chemicals,NSE:ATUL-EQ
INE406A01037,Healthcare,NSE:AUROPHARMA-EQ
INE871C01038,Fast Moving Consumer Goods,NSE:AVANTIFEED-EQ
INE192R01011,Consumer Services,NSE:DMART-EQ
INE238A01034,Financial Services,NSE:AXISBANK-EQ
INE258A01016,Capital Goods,NSE:BEML-EQ
INE153T01027,Consumer Services,NSE:BLS-EQ
INE118H01025,Financial Services,NSE:BSE-EQ
INE917I01010,Automobile and Auto Components,NSE:BAJAJ-AUTO-EQ
INE296A01024,Financial Services,NSE:BAJFINANCE-EQ
INE918I01026,Financial Services,NSE:BAJAJFINSV-EQ
INE118A01012,Financial Services,NSE:BAJAJHLDNG-EQ
INE050E01027,Chemicals,NSE:BALAMINES-EQ
INE787D01026,Automobile and Auto Components,NSE:BALKRISIND-EQ
INE119A01028,Fast Moving Consumer Goods,NSE:BALRAMCHIN-EQ
INE545U01014,Financial Services,NSE:BANDHANBNK-EQ
INE028A01039,Financial Services,NSE:BANKBARODA-EQ
INE084A01016,Financial Services,NSE:BANKINDIA-EQ
INE457A01014,Financial Services,NSE:MAHABANK-EQ
INE176A01028,Consumer Durables,NSE:BATAINDIA-EQ
INE462A01022,Chemicals,NSE:BAYERCROP-EQ
INE463A01038,Consumer Durables,NSE:BERGEPAINT-EQ
INE171Z01026,Capital Goods,NSE:BDL-EQ
INE263A01024,Capital Goods,NSE:BEL-EQ
INE465A01025,Automobile and Auto Components,NSE:BHARATFORG-EQ
INE257A01026,Capital Goods,NSE:BHEL-EQ
INE029A01011,Oil Gas & Consumable Fuels,NSE:BPCL-EQ
INE397D01024,Telecommunication,NSE:BHARTIARTL-EQ
INE00E101023,Fast Moving Consumer Goods,NSE:BIKAJI-EQ
INE376G01013,Healthcare,NSE:BIOCON-EQ
INE340A01012,Construction Materials,NSE:BIRLACORPN-EQ
INE836A01035,Information Technology,NSE:BSOFT-EQ
INE233B01017,Services,NSE:BLUEDART-EQ
INE472A01039,Consumer Durables,NSE:BLUESTARCO-EQ
INE050A01025,Fast Moving Consumer Goods,NSE:BBTC-EQ
INE666D01022,Capital Goods,NSE:BORORENEW-EQ
INE323A01026,Automobile and Auto Components,NSE:BOSCHLTD-EQ
INE791I01019,Realty,NSE:BRIGADE-EQ
INE216A01030,Fast Moving Consumer Goods,NSE:BRITANNIA-EQ
INE0BV301023,Information Technology,NSE:MAPMYINDIA-EQ
INE421D01022,Fast Moving Consumer Goods,NSE:CCL-EQ
INE486A01021,Power,NSE:CESC-EQ
INE067A01029,Capital Goods,NSE:CGPOWER-EQ
INE536H01010,Automobile and Auto Components,NSE:CIEINDIA-EQ
INE007A01025,Financial Services,NSE:CRISIL-EQ
INE679A01013,Financial Services,NSE:CSBBANK-EQ
INE278Y01022,Consumer Durables,NSE:CAMPUS-EQ
INE477A01020,Financial Services,NSE:CANFINHOME-EQ
INE476A01022,Financial Services,NSE:CANBK-EQ
INE475E01026,Healthcare,NSE:CAPLIPOINT-EQ
INE180C01042,Financial Services,NSE:CGCL-EQ
INE120A01034,Capital Goods,NSE:CARBORUNIV-EQ
INE172A01027,Oil Gas & Consumable Fuels,NSE:CASTROLIND-EQ
INE482A01020,Automobile and Auto Components,NSE:CEATLTD-EQ
INE0LMW01024,Consumer Durables,NSE:CELLO-EQ
INE483A01010,Financial Services,NSE:CENTRALBK-EQ
INE736A01011,Financial Services,NSE:CDSL-EQ
INE348B01021,Consumer Durables,NSE:CENTURYPLY-EQ
INE055A01016,Forest Materials,NSE:CENTURYTEX-EQ
INE739E01017,Consumer Durables,NSE:CERA-EQ
INE427F01016,Consumer Services,NSE:CHALET-EQ
INE085A01013,Chemicals,NSE:CHAMBLFERT-EQ
INE488A01050,Chemicals,NSE:CHEMPLASTS-EQ
INE178A01016,Oil Gas & Consumable Fuels,NSE:CHENNPETRO-EQ
INE149A01033,Financial Services,NSE:CHOLAHLDNG-EQ
INE121A01024,Financial Services,NSE:CHOLAFIN-EQ
INE059A01026,Healthcare,NSE:CIPLA-EQ
INE491A01021,Financial Services,NSE:CUB-EQ
INE227W01023,Chemicals,NSE:CLEAN-EQ
INE522F01014,Oil Gas & Consumable Fuels,NSE:COALINDIA-EQ
INE704P01025,Capital Goods,NSE:COCHINSHIP-EQ
INE591G01017,Information Technology,NSE:COFORGE-EQ
INE259A01022,Fast Moving Consumer Goods,NSE:COLPAL-EQ
INE596I01012,Financial Services,NSE:CAMS-EQ
INE338H01029,Healthcare,NSE:CONCORDBIO-EQ
INE111A01025,Services,NSE:CONCOR-EQ
INE169A01031,Chemicals,NSE:COROMANDEL-EQ
INE00LO01017,Automobile and Auto Components,NSE:CRAFTSMAN-EQ
INE741K01010,Financial Services,NSE:CREDITACC-EQ
INE299U01018,Consumer Durables,NSE:CROMPTON-EQ
INE298A01020,Capital Goods,NSE:CUMMINSIND-EQ
INE136B01020,Information Technology,NSE:CYIENT-EQ
INE499A01024,Diversified,NSE:DCMSHRIRAM-EQ
INE271C01023,Realty,NSE:DLF-EQ
INE321T01012,Fast Moving Consumer Goods,NSE:DOMS-EQ
INE016A01026,Fast Moving Consumer Goods,NSE:DABUR-EQ
INE00R701025,Construction Materials,NSE:DALBHARAT-EQ
INE0IX101010,Capital Goods,NSE:DATAPATTNS-EQ
INE501A01019,Chemicals,NSE:DEEPAKFERT-EQ
INE288B01029,Chemicals,NSE:DEEPAKNTR-EQ
INE148O01028,Services,NSE:DELHIVERY-EQ
INE872J01023,Consumer Services,NSE:DEVYANI-EQ
INE361B01024,Healthcare,NSE:DIVISLAB-EQ
INE935N01020,Consumer Durables,NSE:DIXON-EQ
INE600L01024,Healthcare,NSE:LALPATHLAB-EQ
INE089A01023,Healthcare,NSE:DRREDDY-EQ
INE126A01031,Chemicals,NSE:EIDPARRY-EQ
INE230A01023,Consumer Services,NSE:EIHOTEL-EQ
INE255A01020,Capital Goods,NSE:EPL-EQ
INE07O001026,Consumer Services,NSE:EASEMYTRIP-EQ
INE066A01021,Automobile and Auto Components,NSE:EICHERMOT-EQ
INE205B01031,Capital Goods,NSE:ELECON-EQ
INE285A01027,Capital Goods,NSE:ELGIEQUIP-EQ
INE548C01032,Fast Moving Consumer Goods,NSE:EMAMILTD-EQ
INE913H01037,Automobile and Auto Components,NSE:ENDURANCE-EQ
INE510A01028,Construction,NSE:ENGINERSIN-EQ
INE063P01018,Financial Services,NSE:EQUITASBNK-EQ
INE406M01024,Healthcare,NSE:ERIS-EQ
INE042A01014,Capital Goods,NSE:ESCORTS-EQ
INE302A01020,Automobile and Auto Components,NSE:EXIDEIND-EQ
INE258B01022,Healthcare,NSE:FDC-EQ
INE388Y01029,Consumer Services,NSE:NYKAA-EQ
INE171A01029,Financial Services,NSE:FEDERALBNK-EQ
INE188A01015,Chemicals,NSE:FACT-EQ
INE686Y01026,Chemicals,NSE:FINEORG-EQ
INE235A01022,Capital Goods,NSE:FINCABLES-EQ
INE183A01024,Capital Goods,NSE:FINPIPE-EQ
INE684F01012,Services,NSE:FSL-EQ
INE128S01021,Financial Services,NSE:FIVESTAR-EQ
INE061F01013,Healthcare,NSE:FORTIS-EQ
INE129A01019,Oil Gas & Consumable Fuels,NSE:GAIL-EQ
INE541A01023,Capital Goods,NSE:GMMPFAUDLR-EQ
INE776C01039,Services,NSE:GMRINFRA-EQ
INE382Z01011,Capital Goods,NSE:GRSE-EQ
INE481Y01014,Financial Services,NSE:GICRE-EQ
INE322A01010,Fast Moving Consumer Goods,NSE:GILLETTE-EQ
INE068V01023,Healthcare,NSE:GLAND-EQ
INE159A01016,Healthcare,NSE:GLAXO-EQ
INE03Q201024,Healthcare,NSE:GLS-EQ
INE935A01035,Healthcare,NSE:GLENMARK-EQ
INE474Q01031,Healthcare,NSE:MEDANTA-EQ
INE177H01021,Capital Goods,NSE:GPIL-EQ
INE260B01028,Fast Moving Consumer Goods,NSE:GODFRYPHLP-EQ
INE102D01028,Fast Moving Consumer Goods,NSE:GODREJCP-EQ
INE233A01035,Diversified,NSE:GODREJIND-EQ
INE484J01027,Realty,NSE:GODREJPROP-EQ
INE101D01020,Healthcare,NSE:GRANULES-EQ
INE371A01025,Capital Goods,NSE:GRAPHITE-EQ
INE047A01021,Construction Materials,NSE:GRASIM-EQ
INE017A01032,Services,NSE:GESHIP-EQ
INE536A01023,Capital Goods,NSE:GRINDWELL-EQ
INE036B01030,Fast Moving Consumer Goods,NSE:GAEL-EQ
INE09N301011,Chemicals,NSE:FLUOROCHEM-EQ
INE844O01030,Oil Gas & Consumable Fuels,NSE:GUJGASLTD-EQ
INE131A01031,Metals & Mining,NSE:GMDCLTD-EQ
INE113A01013,Chemicals,NSE:GNFC-EQ
INE517F01014,Services,NSE:GPPL-EQ
INE026A01025,Chemicals,NSE:GSFC-EQ
INE246F01010,Oil Gas & Consumable Fuels,NSE:GSPL-EQ
INE545A01016,Capital Goods,NSE:HEG-EQ
INE292B01021,Automobile and Auto Components,NSE:HBLPOWER-EQ
INE860A01027,Information Technology,NSE:HCLTECH-EQ
INE127D01025,Financial Services,NSE:HDFCAMC-EQ
INE040A01034,Financial Services,NSE:HDFCBANK-EQ
INE795G01014,Financial Services,NSE:HDFCLIFE-EQ
INE548A01028,Telecommunication,NSE:HFCL-EQ
INE419U01012,Information Technology,NSE:HAPPSTMNDS-EQ
INE330T01021,Capital Goods,NSE:HAPPYFORGE-EQ
INE176B01034,Consumer Durables,NSE:HAVELLS-EQ
INE158A01026,Automobile and Auto Components,NSE:HEROMOTOCO-EQ
INE019C01026,Chemicals,NSE:HSCL-EQ
INE038A01020,Metals & Mining,NSE:HINDALCO-EQ
INE066F01020,Capital Goods,NSE:HAL-EQ
INE531E01026,Metals & Mining,NSE:HINDCOPPER-EQ
INE094A01015,Oil Gas & Consumable Fuels,NSE:HINDPETRO-EQ
INE030A01027,Fast Moving Consumer Goods,NSE:HINDUNILVR-EQ
INE267A01025,Metals & Mining,NSE:HINDZINC-EQ
INE07Y701011,Capital Goods,NSE:POWERINDIA-EQ
INE481N01025,Financial Services,NSE:HOMEFIRST-EQ
INE0J5401028,Fast Moving Consumer Goods,NSE:HONASA-EQ
INE671A01010,Capital Goods,NSE:HONAUT-EQ
INE031A01017,Financial Services,NSE:HUDCO-EQ
INE090A01021,Financial Services,NSE:ICICIBANK-EQ
INE765G01017,Financial Services,NSE:ICICIGI-EQ
INE726G01019,Financial Services,NSE:ICICIPRULI-EQ
INE763G01038,Financial Services,NSE:ISEC-EQ
INE008A01015,Financial Services,NSE:IDBI-EQ
INE092T01019,Financial Services,NSE:IDFCFIRSTB-EQ
INE043D01016,Financial Services,NSE:IDFC-EQ
INE530B01024,Financial Services,NSE:IIFL-EQ
INE821I01022,Construction,NSE:IRB-EQ
INE962Y01021,Construction,NSE:IRCON-EQ
INE154A01025,Fast Moving Consumer Goods,NSE:ITC-EQ
INE248A01017,Telecommunication,NSE:ITI-EQ
INE383A01012,Construction Materials,NSE:INDIACEM-EQ
INE148I01020,Financial Services,NSE:IBULHSGFIN-EQ
INE933S01016,Consumer Services,NSE:INDIAMART-EQ
INE562A01011,Financial Services,NSE:INDIANB-EQ
INE022Q01020,Financial Services,NSE:IEX-EQ
INE053A01029,Consumer Services,NSE:INDHOTEL-EQ
INE242A01010,Oil Gas & Consumable Fuels,NSE:IOC-EQ
INE565A01014,Financial Services,NSE:IOB-EQ
INE335Y01020,Consumer Services,NSE:IRCTC-EQ
INE053F01010,Financial Services,NSE:IRFC-EQ
INE09VQ01012,Consumer Durables,NSE:INDIGOPNTS-EQ
INE203G01027,Oil Gas & Consumable Fuels,NSE:IGL-EQ
INE121J01017,Telecommunication,NSE:INDUSTOWER-EQ
INE095A01012,Financial Services,NSE:INDUSINDBK-EQ
INE663F01024,Consumer Services,NSE:NAUKRI-EQ
INE009A01021,Information Technology,NSE:INFY-EQ
INE066P01011,Capital Goods,NSE:INOXWIND-EQ
INE306R01017,Information Technology,NSE:INTELLECT-EQ
INE646L01027,Services,NSE:INDIGO-EQ
